latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
-46.558134705555545,-67.43282218611111,34.8544,14.88166,306,2019,34.8544,-11021392.800
-46.55813461944444,-67.43282218055555,34.868,14.88194,306,2019,34.8680,-11021224.116
-46.55813466944443,-67.43282219166667,34.8641,14.88222,306,2019,34.8641,-11021055.625
-46.558134624999994,-67.43282218611111,34.8715,14.88250,306,2019,34.8715,-11020886.875
-46.558134633333324,-67.4328221888889,34.8729,14.88278,306,2019,34.8729,-11020718.080
-46.55813459444444,-67.43282218333333,34.8787,14.88305,306,2019,34.8787,-11020549.337
-46.5581345111111,-67.43282217499998,34.8894,14.88333,306,2019,34.8894,-11020380.671
-46.55813436666666,-67.43282219166667,34.8999,14.88361,306,2019,34.8999,-11020211.887
-46.55813428611111,-67.4328222138889,34.9058,14.88389,306,2019,34.9058,-11020043.243
-46.55813423333333,-67.4328222138889,34.9148,14.88416,306,2019,34.9148,-11019875.342
-46.55813429444444,-67.4328222138889,34.9106,14.88444,306,2019,34.9106,-11019707.360
-46.55813425555555,-67.4328222,34.917,14.88472,306,2019,34.9170,-11019538.394
-46.55813410277777,-67.43282222500001,34.9279,14.88500,306,2019,34.9279,-11019369.112
-46.55813406666666,-67.43282226944444,34.9212,14.88528,306,2019,34.9212,-11019200.232
-46.55813422222222,-67.43282232500002,34.8967,14.88555,306,2019,34.8967,-11019031.162
-46.55813435277778,-67.43282234722223,34.88,14.88583,306,2019,34.8800,-11018862.365
-46.558134444444434,-67.43282236388889,34.8704,14.88611,306,2019,34.8704,-11018693.248
-46.55813453055555,-67.43282236666667,34.8586,14.88639,306,2019,34.8586,-11018524.241
-46.55813458333333,-67.43282235833334,34.8503,14.88666,306,2019,34.8503,-11018354.943
-46.55813461944444,-67.43282234166666,34.8457,14.88694,306,2019,34.8457,-11018185.549
-46.55813459999999,-67.43282231388888,34.8452,14.88722,306,2019,34.8452,-11018015.890
-46.55813448888889,-67.432822275,34.8563,14.88750,306,2019,34.8563,-11017846.087
-46.55813448333334,-67.4328222527778,34.8571,14.88778,306,2019,34.8571,-11017676.301
-46.55813443333332,-67.4328222388889,34.8611,14.88805,306,2019,34.8611,-11017506.748
-46.55813438888889,-67.43282229444445,34.8522,14.88833,306,2019,34.8522,-11017337.179
-46.558134349999996,-67.43282229722223,34.853,14.88861,306,2019,34.8530,-11017167.521
-46.55813431944444,-67.43282229444445,34.8568,14.88889,306,2019,34.8568,-11016997.946
-46.558134302777766,-67.43282224444448,34.8621,14.88916,306,2019,34.8621,-11016828.513
-46.55813428333333,-67.43282221944445,34.8674,14.88944,306,2019,34.8674,-11016658.990
-46.558134252777776,-67.43282220833333,34.8709,14.88972,306,2019,34.8709,-11016489.417
-46.55813421944444,-67.43282220277779,34.8733,14.89000,306,2019,34.8733,-11016319.814
-46.55813418055554,-67.43282221111112,34.8727,14.89027,306,2019,34.8727,-11016150.324
-46.55813415833333,-67.43282221111112,34.8715,14.89055,306,2019,34.8715,-11015980.776
-46.558134141666656,-67.43282220833333,34.8731,14.89083,306,2019,34.8731,-11015811.177
-46.55813411944443,-67.43282222500001,34.8748,14.89111,306,2019,34.8748,-11015641.577
-46.558134116666665,-67.43282224444448,34.8747,14.89139,306,2019,34.8747,-11015472.126
-46.55813416666666,-67.4328222388889,34.874,14.89166,306,2019,34.8740,-11015302.570
-46.55813416666666,-67.43282223333334,34.878,14.89194,306,2019,34.8780,-11015132.897
-46.55813406666666,-67.43282222500001,34.8908,14.89222,306,2019,34.8908,-11014963.225
-46.55813401388889,-67.4328222138889,34.8962,14.89250,306,2019,34.8962,-11014794.318
-46.558134063888886,-67.43282221944445,34.8886,14.89278,306,2019,34.8886,-11014625.827
-46.558134027777776,-67.4328222,34.8912,14.89305,306,2019,34.8912,-11014456.374
